Timestamp,Imagem,Tipo,Valores
2025-02-18 23:37:43,C:/Users/alexandre.panosso/Dropbox/DPro/Microdont/09_Automacao_2025/05_SizeIT/mnt/data/p3__ALIGN.png,Comprimento Total,[np.float64(68.30687830687832)]
2025-02-18 23:37:43,C:/Users/alexandre.panosso/Dropbox/DPro/Microdont/09_Automacao_2025/05_SizeIT/mnt/data/p3__ALIGN.png,Diâmetros,"[np.float64(6.190476190476191), np.float64(6.190476190476191), np.float64(6.190476190476191), np.float64(6.190476190476191), np.float64(4.497354497354498)]"
2025-02-18 23:41:54,C:/Users/alexandre.panosso/Dropbox/DPro/Microdont/09_Automacao_2025/05_SizeIT/mnt/data/p3__ALIGN.png,Comprimento Total,[np.float64(68.30687830687832)]
2025-02-18 23:41:54,C:/Users/alexandre.panosso/Dropbox/DPro/Microdont/09_Automacao_2025/05_SizeIT/mnt/data/p3__ALIGN.png,Diâmetros,"[np.float64(6.190476190476191), np.float64(6.190476190476191), np.float64(6.190476190476191), np.float64(6.190476190476191), np.float64(4.497354497354498)]"
2025-02-19 00:15:10,C:/Users/alexandre.panosso/Dropbox/DPro/Microdont/09_Automacao_2025/05_SizeIT/mnt/data/p3__ALIGN.png,Comprimento Total,[np.float64(68.30687830687832)]
2025-02-19 00:15:10,C:/Users/alexandre.panosso/Dropbox/DPro/Microdont/09_Automacao_2025/05_SizeIT/mnt/data/p3__ALIGN.png,Diâmetros,"[np.float64(6.190476190476191), np.float64(6.190476190476191), np.float64(6.190476190476191), np.float64(6.190476190476191), np.float64(4.497354497354498)]"
2025-02-19 00:34:30,C:/Users/alexandre.panosso/Dropbox/DPro/Microdont/09_Automacao_2025/05_SizeIT/mnt/data/p3_.png,Comprimento Total,[np.float64(65.0)]
2025-02-19 00:34:30,C:/Users/alexandre.panosso/Dropbox/DPro/Microdont/09_Automacao_2025/05_SizeIT/mnt/data/p3_.png,Diâmetros,"[np.float64(6.587301587301588), np.float64(6.587301587301588), np.float64(6.587301587301588), np.float64(6.587301587301588), np.float64(4.2063492063492065)]"
2025-02-19 00:37:53,C:/Users/alexandre.panosso/Dropbox/DPro/Microdont/09_Automacao_2025/05_SizeIT/mnt/data/p3__ALIGN.png,Comprimento Total,[np.float64(68.30687830687832)]
2025-02-19 00:37:53,C:/Users/alexandre.panosso/Dropbox/DPro/Microdont/09_Automacao_2025/05_SizeIT/mnt/data/p3__ALIGN.png,Diâmetros,"[np.float64(6.190476190476191), np.float64(6.190476190476191), np.float64(6.190476190476191), np.float64(6.190476190476191), np.float64(4.497354497354498)]"
2025-02-19 00:46:45,C:/Users/alexandre.panosso/Dropbox/DPro/Microdont/09_Automacao_2025/05_SizeIT/mnt/data/p3__ALIGN.png,Comprimento Total,[np.float64(68.30687830687832)]
2025-02-19 00:46:45,C:/Users/alexandre.panosso/Dropbox/DPro/Microdont/09_Automacao_2025/05_SizeIT/mnt/data/p3__ALIGN.png,Diâmetros,"[np.float64(6.190476190476191), np.float64(6.190476190476191), np.float64(6.190476190476191), np.float64(6.190476190476191), np.float64(4.497354497354498)]"
2025-02-19 00:49:16,C:/Users/alexandre.panosso/Dropbox/DPro/Microdont/09_Automacao_2025/05_SizeIT/mnt/data/p3__ALIGN.png,Comprimento Total,[np.float64(68.30687830687832)]
